Date, Open, High, Low, Close
2022-02-25,3286.72,3332.66,3286.72,3294.47
2022-02-24,3351.24,3363.17,3248.93,3276.06
2022-02-23,3395.25,3401.12,3391.18,3393.0
2022-02-22,3416.9,3421.4,3394.79,3400.58
2022-02-21,3421.95,3438.53,3417.89,3436.36
2022-02-18,3432.86,3447.39,3427.66,3428.9
2022-02-17,3451.42,3466.23,3441.57,3441.57
2022-02-16,3418.44,3442.61,3407.44,3439.3
2022-02-15,3418.23,3425.62,3407.37,3421.38
2022-02-14,3419.52,3434.51,3403.41,3421.2
2022-02-11,3414.45,3438.07,3411.87,3428.95
2022-02-10,3420.63,3435.68,3403.95,3428.0
2022-02-09,3397.05,3420.04,3394.03,3420.04
2022-02-08,3380.02,3411.51,3373.04,3401.74
2022-02-07,3328.64,3366.48,3327.63,3366.48
2022-02-04,3315.37,3332.92,3309.52,3331.41
2022-02-03,3302.23,3327.11,3290.29,3315.99
2022-01-31,3250.55,3276.31,3245.67,3249.59
2022-01-28,3261.05,3272.59,3245.15,3246.33
2022-01-27,3257.22,3262.57,3240.56,3260.03
2022-01-26,3253.81,3280.48,3250.21,3271.57
2022-01-25,3264.11,3267.55,3235.17,3247.76
2022-01-24,3268.19,3294.22,3266.15,3283.35
2022-01-21,3291.28,3298.94,3281.58,3294.86
2022-01-20,3282.91,3298.09,3269.45,3294.82
2022-01-19,3281.84,3297.87,3273.96,3283.94
2022-01-18,3295.08,3299.64,3273.46,3280.04
2022-01-17,3284.49,3297.79,3279.33,3287.95
2022-01-14,3264.74,3282.41,3262.36,3281.97
2022-01-13,3262.26,3262.37,3247.39,3257.3
2022-01-12,3261.26,3263.65,3242.59,3254.98
2022-01-11,3231.34,3249.07,3222.56,3246.37
2022-01-10,3211.26,3241.41,3209.3,3227.05
2022-01-07,3199.67,3209.4,3190.61,3205.26
2022-01-06,3152.75,3186.33,3144.81,3184.3
2022-01-05,3187.57,3196.6,3154.96,3163.44
2022-01-04,3155.68,3182.53,3151.8,3181.13
2022-01-03,3130.48,3138.27,3127.6,3134.25
2021-12-31,3127.11,3139.74,3123.68,3123.68
2021-12-30,3132.36,3137.86,3126.55,3126.64
2021-12-29,3135.39,3140.52,3132.87,3138.02
2021-12-28,3110.82,3128.92,3108.93,3128.41
2021-12-27,3107.63,3113.55,3104.24,3104.24
2021-12-24,3101.67,3110.76,3098.99,3108.28
2021-12-23,3098.04,3104.18,3090.25,3096.81
2021-12-22,3093.3,3098.27,3078.71,3087.51
2021-12-21,3083.74,3101.75,3079.34,3085.08
2021-12-20,3093.23,3098.49,3068.21,3072.97
2021-12-17,3122.92,3134.99,3111.63,3111.63
2021-12-16,3114.19,3137.31,3113.05,3128.8
2021-12-15,3116.85,3120.55,3106.63,3114.88
2021-12-14,3117.12,3128.8,3114.43,3121.09
2021-12-13,3156.6,3161.95,3119.95,3119.95
2021-12-10,3133.89,3141.85,3129.25,3135.61
2021-12-09,3136.86,3152.34,3134.4,3142.45
2021-12-08,3138.2,3140.75,3124.31,3129.77
2021-12-07,3123.26,3138.41,3120.44,3134.66
2021-12-06,3103.96,3135.65,3103.96,3116.32
2021-12-03,3083.26,3109.64,3080.29,3101.93
2021-12-02,3068.15,3100.55,3065.91,3092.11
2021-12-01,3052.4,3101.52,3045.13,3098.25
2021-11-30,3122.74,3129.54,3041.29,3041.29
2021-11-29,3144.17,3147.17,3115.97,3120.58
2021-11-26,3204.57,3208.13,3153.71,3166.27
2021-11-25,3224.33,3237.52,3217.31,3221.52
2021-11-24,3237.04,3227.15,3227.15,3227.15
2021-11-23,3236.32,3237.32,3226.76,3227.53
2021-11-22,3234.11,3244.73,3231.1,3237.08
2021-11-19,3233.63,3238.97,3227.06,3232.34
2021-11-18,3226.95,3239.43,3219.9,3237.02
2021-11-17,3236.44,3237.62,3226.29,3232.68
2021-11-16,3232.05,3246.25,3230.96,3238.8
2021-11-15,3228.44,3241.85,3222.47,3240.58
2021-11-12,3244.09,3248.38,3226.17,3228.45
2021-11-11,3219.68,3238.58,3207.32,3238.07
2021-11-10,3245.19,3246.0,3218.31,3231.32
